fwag,male,asian_indian,white,tradeunion,schooling,cert_nomat,dip_nomat,cert_mat,dip_mat,bachelors,honours,married,homerooms,homeroomssq,hhintmonth_5,hhintmonth_7,hhintmonth_10,hhintmonth_11,hhintmonth_12,province_2,province_3,province_4,province_6,province_7,province_8,province_9,geo2011_3,coloured,best_age_yrs,agesq,schoolingsq,bach_dip,hhintmonth_3,hhintmonth_4,hhintmonth_6,hhintmonth_8,hhintmonth_9,province_5,geo2011_2,ident,original,pesos
27000,0,0,0,0,12,0,0,0,0,0,0,1,7,49,0,0,1,0,0,1,0,0,0,0,0,0,0,1,34,1156,144,0,0,0,0,0,0,0,1,24388,27000,1386.3218994140625
23752,1,0,0,0,12,0,0,0,0,0,1,1,7,49,0,0,1,0,0,1,0,0,0,0,0,0,0,1,37,1369,144,0,0,0,0,0,0,0,1,4050,23752,1386.3218994140625
1750,1,0,0,0,10,0,0,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40,1600,100,0,1,0,0,0,0,0,0,7075,1750,143.26971435546875
1977,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,49,2401,4,0,0,1,0,0,0,0,0,36244,1977,405.9827575683594
10100,1,0,0,0,12,1,0,0,0,0,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,39,1521,144,0,0,1,0,0,0,0,1,31276,10100,1411.5528564453125
8900,0,0,0,1,12,0,0,0,1,0,0,0,15,225,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44,1936,144,0,1,0,0,0,0,0,0,16910,8900,1016.5155029296875
18000,1,0,0,1,12,0,0,0,0,0,0,1,7,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2401,144,0,0,1,0,0,0,1,0,13284,18000,543.48944091796875
14000,1,0,0,1,5,0,0,0,0,0,0,1,7,49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,57,3249,25,0,0,0,0,0,0,1,0,7976,14000,653.03826904296875
9812,1,0,0,1,7,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,3364,49,0,0,0,1,0,0,1,0,26876,9812,2476.95458984375
1700,0,0,0,0,11,0,0,0,0,0,0,0,4,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,57,3249,121,0,0,1,0,0,0,0,1,13602,1700,124.59241485595703
7500,0,0,0,1,12,0,0,1,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1296,144,0,0,0,0,0,1,1,1,34474,7500,2651.161865234375
8000,0,0,0,1,12,0,0,1,0,0,0,0,4,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40,1600,144,0,0,0,0,0,0,1,0,16920,8000,710.97576904296875
8000,0,0,0,1,12,0,0,0,1,0,0,0,4,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42,1764,144,0,0,0,0,0,0,1,0,4934,8000,710.97576904296875
